"","PHYLLO09","PHYLLO10","PHYLLO11","PHYLLO12","PHYLLO13","PHYLLO14","PHYLLO15","PHYLLO16","PHYLLO21","PHYLLO22","PHYLLO23","PHYLLO24","PHYLLO25","PHYLLO26","PHYLLO27","PHYLLO28","PHYLLO29"
"Candidatus_Entotheonella"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 8"," 0"," 4","52","33","56"," 0"
"Candidatus_Glomeribacter","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Candidatus_Hamiltonella","  0","  0","  0","  0","263","  0","  0","  0","  1"," 63","  0","  0","  0","  0","  0","  0","  0"
"Candidatus_Ishikawaella","0","0","0","0","1","0","0","0","0","3","0","0","0","0","0","0","0"
"Candidatus_Koribacter","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Candidatus_Kuenenia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"Candidatus_Methylomirabilis","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0"
"Candidatus_Micrarchaeum","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Candidatus_Microthrix"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","17","18","19"," 0"
"Candidatus_Midichloria","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"Candidatus_Moranella","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"Candidatus_Nicolleia","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"Candidatus_Nitrosoarchaeum","0","0","0","0","0","0","0","0","0","0","2","0","0","1","3","5","1"
"Candidatus_Pelagibacter","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","2","0"
"Candidatus_Phytoplasma","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Candidatus_Profftella","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Candidatus_Protochlamydia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"Candidatus_Puniceispirillum","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0"
"Candidatus_Regiella","0","0","0","0","0","2","0","0","0","3","0","0","0","0","0","0","0"
"X.Candidatus_Saccharibacteria.","  0"," 11","  0","  0","  3","  4"," 37","318","  7","  0","234","  7","149"," 27","  7"," 78"," 41"
"Candidatus_Saccharimonas"," 0"," 0"," 0"," 0"," 0"," 0"," 0","44"," 2"," 0","31"," 0","15"," 0"," 1"," 6"," 6"
"Candidatus_Solibacter","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
