"","PHYLLO09","PHYLLO10","PHYLLO11","PHYLLO12","PHYLLO13","PHYLLO14","PHYLLO15","PHYLLO16","PHYLLO21","PHYLLO22","PHYLLO23","PHYLLO24","PHYLLO25","PHYLLO26","PHYLLO27","PHYLLO28","PHYLLO29"
"X....trans.carveol.dehydrogenase..1.1.1.275.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Serine.3.dehydrogenase..1.1.1.276.","0","0","0","0","1","0","0","2","1","1","1","1","1","5","0","0","1"
"D.lactate.dehydrogenase..1.1.1.28."," 0"," 1"," 0"," 3","14","17","11"," 5","11"," 6","48","16","24","13"," 9","22"," 0"
"Quinate.shikimate.dehydrogenase..1.1.1.282.","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"Methylglyoxal.reductase..NADPH...1.1.1.283.","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"S..hydroxymethyl.glutathione.dehydrogenase..1.1.1.284."," 0"," 0"," 0"," 0","30"," 0"," 9"," 7"," 6"," 6","61","10","41","25","23","39"," 1"
"Glycerate.dehydrogenase..1.1.1.29.","0","0","0","0","2","0","0","0","2","0","3","0","4","3","0","0","1"
"X4.phosphoerythronate.dehydrogenase..1.1.1.290."," 0"," 1"," 1"," 3","13"," 6","13"," 6","10"," 9","28"," 8","14"," 3"," 8"," 8"," 1"
"X1.5.anhydro.D.fructose.reductase..1.5.anhydro.D.mannitol.forming...1.1.1.292.","0","0","0","0","1","0","0","0","0","0","0","0","0","2","0","0","0"
"X3.hydroxypropionate.dehydrogenase..NADP......1.1.1.298.","0","0","0","0","0","0","0","0","0","0","1","0","2","0","1","0","0"
"Homoserine.dehydrogenase..1.1.1.3."," 0"," 0"," 0"," 0","19"," 0","13","15","17"," 1","97","13","47","57","24","43"," 0"
"X3.hydroxybutyrate.dehydrogenase..1.1.1.30."," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","31"," 0","12","11"," 0","18"," 0"
"D.arabitol.phosphate.dehydrogenase..1.1.1.301.","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0"
"Diacetyl.reductase...R..acetoin.forming...1.1.1.303.","0","0","0","1","0","6","0","0","5","0","3","4","7","1","0","3","1"
"Diacetyl.reductase...S..acetoin.forming...1.1.1.304.","0","0","0","0","0","0","0","1","0","1","0","0","7","0","1","1","0"
"S..hydroxymethyl.mycothiol.dehydrogenase..1.1.1.306.","0","1","0","0","1","0","0","0","1","1","0","0","5","5","2","4","0"
"X3.hydroxyisobutyrate.dehydrogenase..1.1.1.31."," 0"," 0"," 0"," 0"," 8"," 0"," 0"," 1"," 4"," 2","34"," 1","18"," 8"," 7","26"," 0"
"X2.hydroxy.4.carboxymuconate.semialdehyde.hemiacetal.dehydrogenase..1.1.1.312.","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"Very.long.chain.3.oxoacyl.CoA.reductase..1.1.1.330.","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","0"
"L.2.hydroxycarboxylate.dehydrogenase..NAD......1.1.1.337.","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0"
"X.2R..3.sulfolactate.dehydrogenase..NADP......1.1.1.338.","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"Hydroxymethylglutaryl.CoA.reductase..NADPH...1.1.1.34."," 2"," 0"," 0"," 0"," 2"," 1"," 1"," 1"," 3"," 1","10"," 0"," 5"," 6"," 0"," 7"," 0"
