"","PHYLLO09","PHYLLO10","PHYLLO11","PHYLLO12","PHYLLO13","PHYLLO14","PHYLLO15","PHYLLO16","PHYLLO21","PHYLLO22","PHYLLO23","PHYLLO24","PHYLLO25","PHYLLO26","PHYLLO27","PHYLLO28","PHYLLO29"
"carbohydrate.metabolic.process..GO.0005975.","   0","  47","   0","   0"," 759"," 272"," 461"," 675"," 583"," 189","2972"," 452","2292","1871","1514","2265","  86"
"polysaccharide.metabolic.process..GO.0005976.","  0"," 14","  0","  0"," 13","  0"," 10","  9"," 11","  0","128"," 16"," 70","108"," 53","129","  3"
"glycogen.metabolic.process..GO.0005977.","0","0","0","2","3","1","0","0","0","2","3","0","0","0","1","0","0"
"glycogen.biosynthetic.process..GO.0005978.","  0","  0","  0","  0"," 46","  5"," 22"," 34"," 25"," 22","168"," 34","126","128"," 62","204","  6"
"glycogen.catabolic.process..GO.0005980.","  0","  0","  0","  0"," 46","  0","  2"," 16"," 25","  0"," 94"," 18"," 90"," 96"," 85","105"," 26"
"sucrose.metabolic.process..GO.0005985."," 0"," 0"," 0"," 0","12"," 3"," 6"," 0"," 3"," 0"," 9"," 5"," 3"," 0"," 9"," 0"," 1"
"sucrose.biosynthetic.process..GO.0005986.","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"lactose.metabolic.process..GO.0005988.","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2","0","1"
"lactose.catabolic.process..GO.0005990.","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","1","0"
"trehalose.metabolic.process..GO.0005991."," 0"," 6"," 0"," 0"," 4"," 0"," 4"," 4"," 4"," 5","29"," 5","14","21","13","33"," 3"
"trehalose.biosynthetic.process..GO.0005992.","  0","  1","  0","  0"," 41","  7"," 19"," 48"," 22","  2","219"," 27","107"," 98"," 65","148","  7"
"trehalose.catabolic.process..GO.0005993."," 0"," 0"," 0"," 0","10","10"," 4"," 0"," 3"," 0","11","10","37"," 1","34"," 4"," 0"
"monosaccharide.metabolic.process..GO.0005996.","0","0","0","0","0","2","2","0","0","0","2","1","2","0","2","1","0"
"xylulose.metabolic.process..GO.0005997."," 0"," 0"," 0"," 2"," 9"," 5","10"," 1"," 2"," 0","21"," 9","27","17"," 7","16"," 1"
"fructose.metabolic.process..GO.0006000.","0","0","0","0","2","0","0","0","2","0","2","0","0","0","4","1","0"
"fructose.6.phosphate.metabolic.process..GO.0006002."," 0"," 0"," 0"," 0"," 3"," 0"," 7"," 2"," 5"," 0","30"," 0","18","26","11","25"," 0"
"fructose.2.6.bisphosphate.metabolic.process..GO.0006003.","0","0","0","0","2","0","0","0","2","0","2","0","0","0","0","0","0"
"fucose.metabolic.process..GO.0006004."," 0"," 0"," 0"," 0"," 4"," 0"," 1"," 6"," 0"," 0","26"," 0","26","19"," 5","26"," 0"
"glucose.metabolic.process..GO.0006006.","  0","  0","  0","  0"," 28"," 16"," 16"," 14"," 26"," 18","123"," 21","101"," 78"," 55"," 80","  0"
"glucose.catabolic.process..GO.0006007."," 0"," 0"," 0"," 0"," 4"," 0"," 0"," 2"," 3"," 1","29"," 0","31"," 1","20","15"," 0"
"UDP.glucose.metabolic.process..GO.0006011.","  0","  0","  0","  0"," 19"," 38","  8","  5"," 25","  0"," 71"," 20","100"," 20"," 48"," 27","  0"
"galactose.metabolic.process..GO.0006012.","  0","  1","  0","  0"," 32"," 14"," 30"," 23"," 17","  1","144"," 26","117"," 60"," 42"," 63","  0"
"mannose.metabolic.process..GO.0006013."," 0"," 0"," 0"," 0"," 6"," 0"," 4"," 8"," 5"," 6","19"," 0","13","20","37","30"," 6"
"D.ribose.metabolic.process..GO.0006014."," 0"," 0"," 0"," 8","16"," 9"," 9"," 5","17"," 4","32"," 8","31","25","20","34"," 0"
"X5.phosphoribose.1.diphosphate.biosynthetic.process..GO.0006015."," 0"," 0"," 0"," 0","17"," 3","10"," 2","14","23","50"," 6","50","31","35","39"," 0"
"inositol.biosynthetic.process..GO.0006021."," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","11"," 0","12","22","13","16"," 0"
"glycosaminoglycan.biosynthetic.process..GO.0006024.","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"chitin.metabolic.process..GO.0006030.","0","0","0","0","0","0","0","0","0","4","0","3","0","0","0","0","0"
"chitin.biosynthetic.process..GO.0006031."," 0"," 0"," 0"," 0","11"," 0"," 0"," 0"," 0"," 0","11"," 0"," 9"," 1"," 0"," 0"," 0"
"chitin.catabolic.process..GO.0006032."," 0"," 0"," 0"," 0","12"," 1"," 9"," 6"," 1"," 7","34","16","15","19","31","12"," 0"
"amino.sugar.metabolic.process..GO.0006040."," 0"," 1"," 0"," 0","10"," 3"," 0"," 3"," 8"," 0","39"," 1","17"," 4"," 3","13"," 1"
"N.acetylglucosamine.metabolic.process..GO.0006044."," 0"," 0"," 0"," 0"," 4","13","12"," 8"," 7"," 4","33"," 5","23","16","29","27"," 0"
"UDP.N.acetylglucosamine.metabolic.process..GO.0006047."," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 2"," 0","76"," 7","26","10"," 5","15"," 0"
"UDP.N.acetylglucosamine.biosynthetic.process..GO.0006048."," 3"," 0"," 0"," 1","25"," 9"," 8","10"," 7","15","47"," 6","32","36","24","40"," 3"
"N.acetylmannosamine.metabolic.process..GO.0006051.","0","0","0","0","1","0","0","0","0","0","0","0","2","5","0","0","0"
"sorbitol.catabolic.process..GO.0006062.","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"glucuronate.catabolic.process..GO.0006064."," 0"," 1"," 0"," 0"," 4","14"," 5"," 7"," 9"," 6","47"," 8","22","16","35","28"," 2"
"alcohol.metabolic.process..GO.0006066."," 0"," 0"," 0"," 0","37"," 2","23","17","21","15","85"," 0","49","28","27","51"," 3"
"ethanol.oxidation..GO.0006069."," 0"," 0"," 0"," 0","29"," 2"," 9"," 7"," 8"," 6","40","12","34","16","10","19"," 2"
"glycerol.metabolic.process..GO.0006071.","  0","  0","  0","  0"," 43","  1","  9"," 21"," 10","  5","114"," 23"," 77"," 71"," 65"," 78","  1"
"glycerol.3.phosphate.metabolic.process..GO.0006072.","  0","  0","  0","  7"," 40"," 12"," 30"," 33"," 20"," 14","126"," 31"," 97"," 70"," 48"," 77","  0"
"X.1..3..beta.D.glucan.biosynthetic.process..GO.0006075."," 0"," 0"," 0"," 0"," 6"," 1"," 2"," 0"," 7"," 1","14"," 3"," 5"," 0"," 2"," 0"," 0"
"X.1..6..beta.D.glucan.biosynthetic.process..GO.0006078.","0","0","0","0","0","0","0","2","0","3","0","0","0","1","0","0","0"
"substituted.mannan.metabolic.process..GO.0006080.","0","0","0","0","0","0","0","5","0","0","4","3","2","3","3","3","0"
"cellular.aldehyde.metabolic.process..GO.0006081."," 0"," 0"," 0"," 0","19"," 4","14"," 9","10"," 0","55"," 2","30","13"," 1"," 2"," 0"
"organic.acid.metabolic.process..GO.0006082."," 0"," 0"," 0"," 0"," 6"," 2"," 0"," 7"," 7"," 8","25"," 4","26","10","20","12"," 0"
"acetyl.CoA.metabolic.process..GO.0006084."," 0"," 0"," 0"," 0","20"," 0","11"," 7"," 5"," 8","49","10","39","21","15","42"," 7"
"acetyl.CoA.biosynthetic.process..GO.0006085."," 0"," 0"," 0"," 0","29"," 6","17","12","20","20","62","13","64","30","34","32"," 5"
"acetyl.CoA.biosynthetic.process.from.pyruvate..GO.0006086."," 0"," 0"," 0"," 0"," 4"," 1"," 9"," 2"," 0"," 1","15"," 2"," 5","14"," 6"," 4"," 2"
"lactate.metabolic.process..GO.0006089."," 0"," 0"," 0"," 0","14","18","14"," 8"," 8"," 1","73","17","35","12","11","31"," 0"
"pyruvate.metabolic.process..GO.0006090.","  0","  0","  0","  0"," 43"," 10","  9","  8"," 24","  2","141"," 29","100"," 74"," 66","101"," 12"
"generation.of.precursor.metabolites.and.energy..GO.0006091."," 0"," 0"," 0"," 0"," 9"," 0"," 3"," 0"," 9"," 0","70","16","35","27","21","29"," 0"
"gluconeogenesis..GO.0006094.","  0","  0","  0","  0","131"," 30"," 96"," 69"," 67"," 28","417"," 76","339","260","134","306","  8"
"glycolytic.process..GO.0006096.","  0","  0","  0","  0","171"," 45"," 98","117","117"," 87","575"," 68","403","368","256","441","  7"
"glyoxylate.cycle..GO.0006097.","  0","  0","  0","  0"," 30","  6"," 12"," 14"," 20"," 14","132"," 16"," 88"," 67"," 44"," 84","  0"
"pentose.phosphate.shunt..GO.0006098.","  0","  0","  0","  0","105"," 51"," 70"," 57"," 88"," 51","323"," 55","275","247","199","287","  6"
"tricarboxylic.acid.cycle..GO.0006099.","   0","   0","   0","   0"," 359","  91"," 161"," 240"," 227"," 151","1217"," 162"," 775"," 667"," 467"," 854","  59"
"isocitrate.metabolic.process..GO.0006102."," 0"," 0"," 0"," 0"," 4"," 0"," 0"," 7"," 7"," 0","11"," 1","11"," 2"," 9","27"," 0"
"X2.oxoglutarate.metabolic.process..GO.0006103.","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"succinyl.CoA.metabolic.process..GO.0006104.","0","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0"
"fumarate.metabolic.process..GO.0006106."," 0"," 0"," 0"," 0","14"," 4"," 3","15","18"," 1","51"," 8","31","37","18","39"," 0"
"oxaloacetate.metabolic.process..GO.0006107."," 0"," 1"," 0"," 0","19"," 0"," 8"," 6","10"," 8","79","17","67","40","11","48"," 8"
"malate.metabolic.process..GO.0006108.","  0","  0","  0","  0"," 77"," 21"," 23"," 16"," 39"," 17","176"," 25","114","121"," 78","167","  0"
"regulation.of.carbohydrate.metabolic.process..GO.0006109."," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 6"," 0"," 3","24"," 1","13"," 5"," 0"," 7"," 0"
"NADH.oxidation..GO.0006116.","0","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0"
"oxidative.phosphorylation..GO.0006119."," 3"," 1"," 0"," 3","60","21"," 6"," 5","33","22","35"," 0","22","11"," 6","45"," 0"
"mitochondrial.electron.transport..NADH.to.ubiquinone..GO.0006120."," 1"," 0"," 0"," 0"," 6"," 2"," 0"," 5"," 7"," 1","43"," 4","12","17","13","33"," 0"
"mitochondrial.electron.transport..succinate.to.ubiquinone..GO.0006121.","0","0","0","0","1","0","0","1","0","0","2","0","3","0","0","0","0"
"mitochondrial.electron.transport..ubiquinol.to.cytochrome.c..GO.0006122."," 0"," 0"," 0"," 0"," 2"," 1"," 0"," 1"," 0"," 0","14"," 0"," 8"," 0"," 2"," 3"," 0"
