"","PHYLLO09","PHYLLO10","PHYLLO11","PHYLLO12","PHYLLO13","PHYLLO14","PHYLLO15","PHYLLO16","PHYLLO21","PHYLLO22","PHYLLO23","PHYLLO24","PHYLLO25","PHYLLO26","PHYLLO27","PHYLLO28","PHYLLO29"
"DNA.polymerase.family.B..PF00136."," 0"," 0"," 0"," 0","34","15"," 9"," 7","23"," 7","47"," 4","45","15","26","13"," 1"
"ATP.synthase.subunit.C..PF00137."," 0"," 3"," 0"," 0"," 0"," 0"," 0"," 4"," 2"," 0","17"," 5","13"," 6"," 1","11"," 0"
"Legume.lectin.domain..PF00139.","0","0","0","0","0","0","2","0","0","0","2","0","1","0","0","0","0"
"Sigma.70.factor..region.1.2..PF00140.","  0","  0","  0","  0"," 33","  7","  6"," 15","  4"," 23","125"," 13"," 61"," 60"," 43"," 87","  0"
"Peroxidase..PF00141."," 0"," 1"," 0"," 0","21"," 4","15","17","17","12","93","11","54","55","34","85"," 6"
"X4Fe.4S.iron.sulfur.cluster.binding.proteins..NifH.frxC.family..PF00142.","1","2","0","0","3","0","0","1","2","2","2","0","2","0","1","2","0"
"Beta.lactamase..PF00144.","  0","  0","  0","  0"," 38","  0","  9"," 28"," 20","  5","148","  5","100","136"," 76","102","  0"
"C.5.cytosine.specific.DNA.methylase..PF00145."," 0","17"," 0"," 0","10","18"," 7"," 1"," 7"," 1","57"," 0","31","17","16","33"," 0"
"NADH.dehydrogenase..PF00146."," 0"," 0"," 0"," 0","46","26"," 7"," 8","22"," 2","67"," 6","35","49","34","49"," 0"
"Fibrinogen.beta.and.gamma.chains..C.terminal.globular.domain..PF00147.","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"Nitrogenase.component.1.type.Oxidoreductase..PF00148.","0","0","0","1","9","3","1","1","2","3","2","0","2","6","2","3","0"
"Calcineurin.like.phosphoesterase..PF00149.","  0","  5","  0","  0"," 86"," 25"," 27"," 55"," 49"," 20","320"," 27","233","172","116","229","  3"
"Cellulase..glycosyl.hydrolase.family.5...PF00150."," 0"," 0"," 0"," 0","10"," 8"," 8","20","16"," 1","57"," 3","63","28","10","23"," 1"
"tRNA.synthetases.class.II..D..K.and.N...PF00152.","  0","  1","  0","  6"," 72"," 15"," 37"," 53"," 33"," 29","252"," 23","152","131"," 81","138","  6"
"Mitochondrial.carrier.protein..PF00153."," 0"," 0"," 0"," 0","24"," 8"," 4"," 2"," 9"," 7","23"," 9","26"," 7","10"," 5"," 3"
"recA.bacterial.DNA.recombination.protein..PF00154."," 0"," 0"," 0"," 0","12"," 0"," 8","16"," 7"," 8","58"," 3","46","30","31","50"," 7"
"Aminotransferase.class.I.and.II..PF00155.","  0","  9","  0","  8","215"," 61","113","126","166"," 68","722","134","505","366","282","465"," 11"
"Phosphoribosyl.transferase.domain..PF00156.","  0"," 17","  0","  0"," 52","  0"," 21"," 40"," 25"," 25","247"," 22","110","141"," 64","170"," 11"
"Sigma.54.interaction.domain..PF00158.","  0","  7","  0","  0"," 69"," 29"," 31"," 34"," 83"," 12","327"," 44","228","182"," 84","183","  7"
"Cyclophilin.type.peptidyl.prolyl.cis.trans.isomerase.CLD..PF00160."," 0"," 1"," 0"," 0","24"," 8","17","12","17"," 7","77","11","43","42","22","40"," 0"
"Phosphoglycerate.kinase..PF00162."," 0"," 2"," 0"," 0","17","10"," 7"," 8"," 4","17","40"," 4","33","35","23","37"," 0"
"Ribosomal.protein.S4.S9.N.terminal.domain..PF00163."," 0"," 0"," 0"," 0"," 2"," 0"," 7"," 0"," 0"," 0","24"," 0","19","20","25","19"," 1"
"Ribosomal.protein.S12.S23..PF00164."," 0"," 0"," 0"," 0"," 7"," 0"," 1"," 1"," 4"," 3"," 9"," 0","13","10","13","11"," 0"
"Bacterial.regulatory.helix.turn.helix.proteins..AraC.family..PF00165.","0","0","0","0","1","0","0","0","0","0","0","0","3","1","0","1","0"
"Chaperonin.10.Kd.subunit..PF00166."," 0"," 0"," 0"," 0"," 1"," 1"," 0"," 1"," 2"," 0","15"," 0","12"," 2"," 4"," 4"," 0"
"C2.domain..PF00168."," 0"," 0"," 3"," 0","19"," 0"," 5"," 5","10"," 9","14"," 3","22"," 0"," 1"," 3"," 0"
"PH.domain..PF00169."," 1"," 0"," 0"," 0","21"," 4"," 2"," 0","11","12","23"," 2","11"," 2"," 0"," 2"," 0"
"bZIP.transcription.factor..PF00170.","0","0","0","0","6","2","0","1","1","4","6","0","3","3","0","2","0"
"Aldehyde.dehydrogenase.family..PF00171.","  0","  8","  0","  0","237"," 59","117","137","146"," 60","828"," 95","670","488","347","578"," 39"
"Fungal.Zn.2..Cys.6..binuclear.cluster.domain..PF00172.","  0","  0","  0","  0"," 81","  1","  1","  9","  0","  2","166","  0","112"," 19"," 26"," 16","  0"
