"","PHYLLO09","PHYLLO10","PHYLLO11","PHYLLO12","PHYLLO13","PHYLLO14","PHYLLO15","PHYLLO16","PHYLLO21","PHYLLO22","PHYLLO23","PHYLLO24","PHYLLO25","PHYLLO26","PHYLLO27","PHYLLO28","PHYLLO29"
"X.alpha.alpha.trehalose.phosphate.synthase..UDP.forming..activity..GO.0003825.."," 0"," 0"," 0"," 0"," 5"," 2"," 0"," 1"," 9"," 0","74"," 7","40","23","20","39"," 0"
"X.beta.1.4.mannosylglycoprotein.4.beta.N.acetylglucosaminyltransferase.activity..GO.0003830..","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","2","0"
"X.beta.carotene.15.15..monooxygenase.activity..GO.0003834..","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0"
"beta.ureidopropionase.activity..GO.0003837.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"sterol.24.C.methyltransferase.activity..GO.0003838.","0","0","0","0","2","0","0","0","1","0","1","0","0","0","0","1","0"
"gamma.glutamylcyclotransferase.activity..GO.0003839.","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0"
"gamma.glutamyltransferase.activity..GO.0003840.","  0","  0","  0","  0"," 17","  2","  2"," 26","  6","  0","115"," 20"," 63"," 66"," 41","122","  0"
"X1.acylglycerol.3.phosphate.O.acyltransferase.activity..GO.0003841.","0","0","0","0","3","0","1","1","2","0","4","0","0","4","4","0","0"
"X1.pyrroline.5.carboxylate.dehydrogenase.activity..GO.0003842."," 0"," 3"," 0"," 1","47","13","22","17","15"," 6","98","14","80","64","34","81"," 0"
"X.1.3.beta.D.glucan.synthase.activity..GO.0003843.."," 0"," 0"," 0"," 0"," 6"," 1"," 2"," 0"," 7"," 1","14"," 3"," 5"," 0"," 2"," 0"," 0"
"X.1.4.alpha.glucan.branching.enzyme.activity..GO.0003844..","  0","  0","  0","  0"," 19","  0","  8"," 21","  5","  3"," 76"," 13"," 59"," 74"," 32","109","  0"
"X1.alkyl.2.acetylglycerophosphocholine.esterase.activity..GO.0003847.","0","0","0","0","0","0","0","0","0","1","5","0","6","3","0","2","0"
"X2.amino.4.hydroxy.6.hydroxymethyldihydropteridine.diphosphokinase.activity..GO.0003848."," 0"," 2"," 0"," 1"," 4"," 2"," 3"," 2"," 5"," 3","12"," 3","13"," 2"," 2"," 9"," 4"
"X3.deoxy.7.phosphoheptulonate.synthase.activity..GO.0003849."," 3"," 0"," 0"," 1","37"," 6"," 9"," 6","14","19","93","17","74","35","51","55"," 6"
"X2.isopropylmalate.synthase.activity..GO.0003852.","  0","  0","  0","  0"," 27","  0","  9"," 17","  8"," 17"," 92","  3"," 66"," 63"," 59","102","  0"
"X3.beta.hydroxy.delta5.steroid.dehydrogenase.activity..GO.0003854."," 1"," 0"," 0"," 0"," 2"," 0"," 0"," 0"," 1"," 1","10"," 0"," 2"," 4"," 5"," 3"," 2"
"X3.dehydroquinate.dehydratase.activity..GO.0003855."," 0"," 0"," 0"," 0","15"," 3"," 1"," 2"," 1","11","49"," 4","24","15"," 9","16"," 0"
"X3.dehydroquinate.synthase.activity..GO.0003856."," 0"," 0"," 0"," 2","25"," 3"," 6","14","11","15","88"," 9","34","36","13","40"," 4"
"X3.hydroxyacyl.CoA.dehydrogenase.activity..GO.0003857.","  0","  3","  0","  0"," 39"," 20"," 27"," 29"," 35"," 23","267"," 14","157","155"," 84","178","  4"
"X3.hydroxybutyrate.dehydrogenase.activity..GO.0003858."," 0"," 0"," 0"," 0"," 2"," 0"," 0"," 0"," 1"," 0","34"," 0"," 9","13"," 6","24"," 3"
"X3.hydroxybutyryl.CoA.dehydratase.activity..GO.0003859.","1","0","0","0","0","0","1","0","0","0","0","0","1","0","0","2","0"
"X3.hydroxyisobutyryl.CoA.hydrolase.activity..GO.0003860.","0","0","0","1","0","0","0","0","1","0","0","0","2","0","0","1","0"
"X3.isopropylmalate.dehydratase.activity..GO.0003861.","  0","  0","  0","  1"," 29"," 25"," 12"," 11"," 20"," 16","115"," 10"," 50"," 83"," 42","103","  4"
"X3.isopropylmalate.dehydrogenase.activity..GO.0003862."," 0"," 0"," 0"," 0","11"," 0"," 2"," 3","12"," 0","48","13","26","24","15","54"," 0"
"X3.methyl.2.oxobutanoate.dehydrogenase..2.methylpropanoyl.transferring..activity..GO.0003863."," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 2"," 4"," 0"," 3","11"," 5"," 7"," 0"
"X3.methyl.2.oxobutanoate.hydroxymethyltransferase.activity..GO.0003864."," 0"," 0"," 0"," 0"," 4"," 3"," 7"," 4"," 1"," 0","39"," 2","17","26","18","33"," 0"
"X3.oxo.5.alpha.steroid.4.dehydrogenase.activity..GO.0003865.","0","0","0","0","1","0","1","0","0","0","2","1","0","0","0","0","0"
"X3.phosphoshikimate.1.carboxyvinyltransferase.activity..GO.0003866."," 0"," 0"," 0"," 1","30"," 7","11"," 6","13","10","72","18","56","25","17","36"," 1"
"X4.aminobutyrate.transaminase.activity..GO.0003867."," 0"," 0"," 0"," 0","21"," 8"," 1"," 4"," 8","11","37"," 1","30"," 9","19"," 9"," 0"
"X4.hydroxyphenylpyruvate.dioxygenase.activity..GO.0003868."," 0"," 0"," 0"," 0","13"," 0"," 6","14","18"," 3","64"," 1","44","32"," 8","38"," 0"
"X5.aminolevulinate.synthase.activity..GO.0003870."," 0"," 0"," 0"," 0"," 1"," 5"," 0"," 3"," 1"," 0","16"," 2","12","11"," 3","13"," 0"
"X5.methyltetrahydropteroyltriglutamate.homocysteine.S.methyltransferase.activity..GO.0003871."," 0"," 0"," 0"," 1","21","28"," 5"," 9"," 2","18","65","10","38","32","56","45"," 0"
"X6.phosphofructokinase.activity..GO.0003872."," 0"," 0"," 0"," 0"," 4"," 0"," 8"," 2"," 5"," 0","30"," 0","18","25","12","26"," 0"
"X6.phosphofructo.2.kinase.activity..GO.0003873.","0","0","0","0","2","0","0","0","2","0","2","0","0","0","0","0","0"
"X6.pyruvoyltetrahydropterin.synthase.activity..GO.0003874.","0","0","0","0","0","0","0","0","0","0","2","0","0","1","1","2","0"
"AMP.deaminase.activity..GO.0003876.","0","0","1","0","4","4","0","2","1","0","8","0","2","0","1","0","0"
"ATP.adenylyltransferase.activity..GO.0003877.","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0"
"ATP.citrate.synthase.activity..GO.0003878."," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 8"," 3"," 5","32"," 0","26","26","22","33"," 0"
"ATP.phosphoribosyltransferase.activity..GO.0003879."," 0"," 0"," 0"," 0","13"," 4","10"," 2"," 5","13","45"," 1","20","15","19","27"," 0"
"CDP.diacylglycerol.inositol.3.phosphatidyltransferase.activity..GO.0003881.","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0"
"CDP.diacylglycerol.serine.O.phosphatidyltransferase.activity..GO.0003882."," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 1","28"," 3"," 5"," 5"," 1","27"," 0"
"CTP.synthase.activity..GO.0003883.","  0","  0","  0","  0"," 32","  5"," 10"," 15"," 12","  1","104"," 16"," 91"," 66"," 65"," 85","  1"
